Symbolic_Maths,Natural_Language
"Y × V = {(a, b) | a ∈ Y ∧ b ∈ V}","The Cartesian product Y × V is the set of all ordered pairs (a, b) where a ∈ Y and b ∈ V"
"Y × Y = {(a, b) | a ∈ Y ∧ b ∈ Y}","The Cartesian product Y × Y is the set of all ordered pairs (a, b) where a ∈ Y and b ∈ Y"
A × R,The Cartesian product of A and R
A × S,The Cartesian product of A and S
P × P,The Cartesian product of P and P
Q × W,The Cartesian product of Q and W
R × B,The Cartesian product of R and B
S × T,The Cartesian product of S and T
S × W,The Cartesian product of S and W
S × X,The Cartesian product of S and X
S × Z,The Cartesian product of S and Z
T × C,The Cartesian product of T and C
T × P,The Cartesian product of T and P
U × B,The Cartesian product of U and B
U × T,The Cartesian product of U and T
X × P,The Cartesian product of X and P
Y × B,The Cartesian product of Y and B
Z × U,The Cartesian product of Z and U
Aᶜ,The complement of A
Bᶜ,The complement of B
Cᶜ,The complement of C
Pᶜ,The complement of P
Qᶜ,The complement of Q
Rᶜ,The complement of R
Sᶜ,The complement of S
Tᶜ,The complement of T
Uᶜ,The complement of U
Vᶜ,The complement of V
Wᶜ,The complement of W
Xᶜ,The complement of X
Yᶜ,The complement of Y
Zᶜ,The complement of Z
(A ∩ T)ᶜ = Aᶜ ∪ Tᶜ,The complement of the intersection of A and T equals the union of their complements
(C ∩ T)ᶜ = Cᶜ ∪ Tᶜ,The complement of the intersection of C and T equals the union of their complements
(C ∩ Z)ᶜ = Cᶜ ∪ Zᶜ,The complement of the intersection of C and Z equals the union of their complements
(P ∩ W)ᶜ = Pᶜ ∪ Wᶜ,The complement of the intersection of P and W equals the union of their complements
(R ∩ P)ᶜ = Rᶜ ∪ Pᶜ,The complement of the intersection of R and P equals the union of their complements
(R ∩ S)ᶜ = Rᶜ ∪ Sᶜ,The complement of the intersection of R and S equals the union of their complements
(R ∩ Y)ᶜ = Rᶜ ∪ Yᶜ,The complement of the intersection of R and Y equals the union of their complements
(S ∩ C)ᶜ = Sᶜ ∪ Cᶜ,The complement of the intersection of S and C equals the union of their complements
(S ∩ Q)ᶜ = Sᶜ ∪ Qᶜ,The complement of the intersection of S and Q equals the union of their complements
(S ∩ W)ᶜ = Sᶜ ∪ Wᶜ,The complement of the intersection of S and W equals the union of their complements
(T ∩ P)ᶜ = Tᶜ ∪ Pᶜ,The complement of the intersection of T and P equals the union of their complements
(T ∩ R)ᶜ = Tᶜ ∪ Rᶜ,The complement of the intersection of T and R equals the union of their complements
(T ∩ S)ᶜ = Tᶜ ∪ Sᶜ,The complement of the intersection of T and S equals the union of their complements
(X ∩ V)ᶜ = Xᶜ ∪ Vᶜ,The complement of the intersection of X and V equals the union of their complements
(X ∩ Z)ᶜ = Xᶜ ∪ Zᶜ,The complement of the intersection of X and Z equals the union of their complements
(Y ∩ A)ᶜ = Yᶜ ∪ Aᶜ,The complement of the intersection of Y and A equals the union of their complements
(Z ∩ X)ᶜ = Zᶜ ∪ Xᶜ,The complement of the intersection of Z and X equals the union of their complements
(A ∪ C)ᶜ = Aᶜ ∩ Cᶜ,The complement of the union of A and C equals the intersection of their complements
(A ∪ Q)ᶜ = Aᶜ ∩ Qᶜ,The complement of the union of A and Q equals the intersection of their complements
(A ∪ W)ᶜ = Aᶜ ∩ Wᶜ,The complement of the union of A and W equals the intersection of their complements
(C ∪ Q)ᶜ = Cᶜ ∩ Qᶜ,The complement of the union of C and Q equals the intersection of their complements
(C ∪ Y)ᶜ = Cᶜ ∩ Yᶜ,The complement of the union of C and Y equals the intersection of their complements
(P ∪ C)ᶜ = Pᶜ ∩ Cᶜ,The complement of the union of P and C equals the intersection of their complements
(P ∪ W)ᶜ = Pᶜ ∩ Wᶜ,The complement of the union of P and W equals the intersection of their complements
(P ∪ Y)ᶜ = Pᶜ ∩ Yᶜ,The complement of the union of P and Y equals the intersection of their complements
(Q ∪ Q)ᶜ = Qᶜ ∩ Qᶜ,The complement of the union of Q and Q equals the intersection of their complements
(Q ∪ U)ᶜ = Qᶜ ∩ Uᶜ,The complement of the union of Q and U equals the intersection of their complements
(Q ∪ W)ᶜ = Qᶜ ∩ Wᶜ,The complement of the union of Q and W equals the intersection of their complements
(R ∪ R)ᶜ = Rᶜ ∩ Rᶜ,The complement of the union of R and R equals the intersection of their complements
(R ∪ U)ᶜ = Rᶜ ∩ Uᶜ,The complement of the union of R and U equals the intersection of their complements
(R ∪ W)ᶜ = Rᶜ ∩ Wᶜ,The complement of the union of R and W equals the intersection of their complements
(V ∪ R)ᶜ = Vᶜ ∩ Rᶜ,The complement of the union of V and R equals the intersection of their complements
(W ∪ B)ᶜ = Wᶜ ∩ Bᶜ,The complement of the union of W and B equals the intersection of their complements
(W ∪ C)ᶜ = Wᶜ ∩ Cᶜ,The complement of the union of W and C equals the intersection of their complements
(W ∪ R)ᶜ = Wᶜ ∩ Rᶜ,The complement of the union of W and R equals the intersection of their complements
(X ∪ T)ᶜ = Xᶜ ∩ Tᶜ,The complement of the union of X and T equals the intersection of their complements
(Y ∪ Q)ᶜ = Yᶜ ∩ Qᶜ,The complement of the union of Y and Q equals the intersection of their complements
(Z ∪ U)ᶜ = Zᶜ ∩ Uᶜ,The complement of the union of Z and U equals the intersection of their complements
a ∈ P,The element a is an element of set P
a ∈ R,The element a is an element of set R
a ∈ T,The element a is an element of set T
b ∈ U,The element b is an element of set U
b ∈ V,The element b is an element of set V
b ∈ W,The element b is an element of set W
b ∈ Y,The element b is an element of set Y
c ∈ R,The element c is an element of set R
c ∈ S,The element c is an element of set S
c ∈ Y,The element c is an element of set Y
k ∈ C,The element k is an element of set C
k ∈ S,The element k is an element of set S
k ∈ W,The element k is an element of set W
k ∈ X,The element k is an element of set X
k ∈ Z,The element k is an element of set Z
m ∈ C,The element m is an element of set C
m ∈ P,The element m is an element of set P
m ∈ Q,The element m is an element of set Q
m ∈ S,The element m is an element of set S
m ∈ T,The element m is an element of set T
m ∈ Z,The element m is an element of set Z
n ∈ V,The element n is an element of set V
n ∈ Z,The element n is an element of set Z
s ∈ W,The element s is an element of set W
s ∈ X,The element s is an element of set X
t ∈ R,The element t is an element of set R
t ∈ S,The element t is an element of set S
t ∈ U,The element t is an element of set U
t ∈ W,The element t is an element of set W
t ∈ X,The element t is an element of set X
t ∈ Y,The element t is an element of set Y
u ∈ B,The element u is an element of set B
v ∈ B,The element v is an element of set B
v ∈ S,The element v is an element of set S
v ∈ V,The element v is an element of set V
v ∈ W,The element v is an element of set W
v ∈ X,The element v is an element of set X
w ∈ U,The element w is an element of set U
w ∈ V,The element w is an element of set V
w ∈ W,The element w is an element of set W
x ∈ B,The element x is an element of set B
x ∈ Q,The element x is an element of set Q
x ∈ T,The element x is an element of set T
y ∈ B,The element y is an element of set B
y ∈ R,The element y is an element of set R
y ∈ T,The element y is an element of set T
z ∈ C,The element z is an element of set C
z ∈ S,The element z is an element of set S
z ∈ W,The element z is an element of set W
z ∈ X,The element z is an element of set X
"∀ x, x ∉ ∅",The empty set contains no elements
∅ ⊆ A,The empty set is a subset of every set A
∅ ⊆ B,The empty set is a subset of every set B
∅ ⊆ C,The empty set is a subset of every set C
∅ ⊆ P,The empty set is a subset of every set P
∅ ⊆ Q,The empty set is a subset of every set Q
∅ ⊆ R,The empty set is a subset of every set R
∅ ⊆ S,The empty set is a subset of every set S
∅ ⊆ U,The empty set is a subset of every set U
∅ ⊆ V,The empty set is a subset of every set V
∅ ⊆ X,The empty set is a subset of every set X
∅ ⊆ Y,The empty set is a subset of every set Y
∅ ⊆ Z,The empty set is a subset of every set Z
∅ ∈ 𝒫(B),The empty set is an element of the power set of B
∅ ∈ 𝒫(C),The empty set is an element of the power set of C
∅ ∈ 𝒫(R),The empty set is an element of the power set of R
∅ ∈ 𝒫(U),The empty set is an element of the power set of U
∅ ∈ 𝒫(W),The empty set is an element of the power set of W
∅ ∈ 𝒫(Y),The empty set is an element of the power set of Y
∅ ∈ 𝒫(Z),The empty set is an element of the power set of Z
f '' A ⊆ U,The image of A under f is a subset of U
f '' P ⊆ A,The image of P under f is a subset of A
f '' T ⊆ X,The image of T under f is a subset of X
f '' U ⊆ T,The image of U under f is a subset of T
f '' Q,The image of set Q under function f
f '' R,The image of set R under function f
f '' S,The image of set S under function f
f '' T,The image of set T under function f
f '' W,The image of set W under function f
f '' X,The image of set X under function f
f '' Y,The image of set Y under function f
A ∩ A ⊆ A,The intersection of A and A is a subset of A
A ∩ S,The intersection of A and S
A ∩ U,The intersection of A and U
A ∩ V,The intersection of A and V
A ∩ X,The intersection of A and X
A ∩ Y,The intersection of A and Y
A ∩ Z,The intersection of A and Z
B ∩ P,The intersection of B and P
B ∩ X,The intersection of B and X
C ∩ S,The intersection of C and S
C ∩ V,The intersection of C and V
C ∩ W,The intersection of C and W
C ∩ X,The intersection of C and X
C ∩ Z,The intersection of C and Z
P ∩ C,The intersection of P and C
P ∩ P ⊆ P,The intersection of P and P is a subset of P
P ∩ W,The intersection of P and W
Q ∩ P,The intersection of Q and P
Q ∩ W,The intersection of Q and W
Q ∩ X,The intersection of Q and X
R ∩ C,The intersection of R and C
R ∩ P ⊆ R,The intersection of R and P is a subset of R
R ∩ R ⊆ R,The intersection of R and R is a subset of R
R ∩ T ⊆ R,The intersection of R and T is a subset of R
S ∩ A ⊆ S,The intersection of S and A is a subset of S
S ∩ T,The intersection of S and T
S ∩ X ⊆ S,The intersection of S and X is a subset of S
T ∩ A,The intersection of T and A
T ∩ Q,The intersection of T and Q
T ∩ S,The intersection of T and S
T ∩ U,The intersection of T and U
T ∩ W,The intersection of T and W
T ∩ Z,The intersection of T and Z
U ∩ B,The intersection of U and B
U ∩ P,The intersection of U and P
U ∩ T,The intersection of U and T
U ∩ V,The intersection of U and V
U ∩ Y,The intersection of U and Y
V ∩ P,The intersection of V and P
V ∩ R,The intersection of V and R
W ∩ A,The intersection of W and A
W ∩ B,The intersection of W and B
W ∩ C,The intersection of W and C
W ∩ P,The intersection of W and P
W ∩ T,The intersection of W and T
W ∩ X,The intersection of W and X
X ∩ B,The intersection of X and B
X ∩ U,The intersection of X and U
Y ∩ R,The intersection of Y and R
Y ∩ S,The intersection of Y and S
Y ∩ T,The intersection of Y and T
Y ∩ U,The intersection of Y and U
Y ∩ V,The intersection of Y and V
Y ∩ Z,The intersection of Y and Z
Z ∩ C ⊆ Z,The intersection of Z and C is a subset of Z
Z ∩ Q ⊆ Z,The intersection of Z and Q is a subset of Z
Z ∩ R,The intersection of Z and R
Z ∩ S ⊆ Z,The intersection of Z and S is a subset of Z
Z ∩ U,The intersection of Z and U
Z ∩ V,The intersection of Z and V
Z ∩ X,The intersection of Z and X
Z ∩ Y,The intersection of Z and Y
𝒫(A) = {S | S ⊆ A},The power set of A is the set of all subsets of A
𝒫(C) = {S | S ⊆ C},The power set of C is the set of all subsets of C
𝒫(P) = {S | S ⊆ P},The power set of P is the set of all subsets of P
𝒫(R) = {S | S ⊆ R},The power set of R is the set of all subsets of R
𝒫(S) = {S | S ⊆ S},The power set of S is the set of all subsets of S
𝒫(V) = {S | S ⊆ V},The power set of V is the set of all subsets of V
𝒫(X) = {S | S ⊆ X},The power set of X is the set of all subsets of X
𝒫(Y) = {S | S ⊆ Y},The power set of Y is the set of all subsets of Y
𝒫(Z) = {S | S ⊆ Z},The power set of Z is the set of all subsets of Z
f ⁻¹' B,The preimage of set B under function f
f ⁻¹' P,The preimage of set P under function f
f ⁻¹' S,The preimage of set S under function f
f ⁻¹' U,The preimage of set U under function f
f ⁻¹' V,The preimage of set V under function f
f ⁻¹' X,The preimage of set X under function f
B \ C,The set difference B minus C
B \ P,The set difference B minus P
B \ R,The set difference B minus R
B \ S,The set difference B minus S
B \ V,The set difference B minus V
B \ X,The set difference B minus X
B \ Y,The set difference B minus Y
C \ W,The set difference C minus W
P \ V,The set difference P minus V
P \ W,The set difference P minus W
Q \ T,The set difference Q minus T
Q \ U,The set difference Q minus U
R \ C,The set difference R minus C
R \ P,The set difference R minus P
R \ Q,The set difference R minus Q
R \ S,The set difference R minus S
S \ A,The set difference S minus A
S \ B,The set difference S minus B
S \ Q,The set difference S minus Q
S \ R,The set difference S minus R
S \ U,The set difference S minus U
T \ C,The set difference T minus C
T \ P,The set difference T minus P
T \ W,The set difference T minus W
U \ B,The set difference U minus B
U \ Q,The set difference U minus Q
U \ R,The set difference U minus R
V \ S,The set difference V minus S
V \ T,The set difference V minus T
V \ Y,The set difference V minus Y
V \ Z,The set difference V minus Z
W \ Y,The set difference W minus Y
X \ Q,The set difference X minus Q
Y \ A,The set difference Y minus A
Y \ U,The set difference Y minus U
Z \ W,The set difference Z minus W
Z \ Y,The set difference Z minus Y
{x ∈ A | Q x},The set of all elements in A satisfying property Q
{x ∈ B | Q x},The set of all elements in B satisfying property Q
{x ∈ C | Q x},The set of all elements in C satisfying property Q
{x ∈ P | Q x},The set of all elements in P satisfying property Q
{x ∈ X | Q x},The set of all elements in X satisfying property Q
{x ∈ Z | Q x},The set of all elements in Z satisfying property Q
{x | P x},The set of all elements x such that property P holds
"{n : ℕ | ∃ k, n = 2 * k}",The set of all even natural numbers
{n : ℤ | n < 10},The set of all integers less than 10
{n : ℕ | n > 5},The set of all natural numbers greater than 5
"{n : ℤ | ∃ k, n = 2 * k + 1}",The set of all odd integers
{x : ℝ | x > 0},The set of all positive real numbers
{x : ℝ | 0 < x ∧ x < 1},The set of all real numbers between 0 and 1
A ∪ B,The union of A and B
A ∪ P,The union of A and P
A ∪ Q,The union of A and Q
A ∪ T,The union of A and T
A ∪ W,The union of A and W
A ∪ X,The union of A and X
B ∪ A,The union of B and A
B ∪ S,The union of B and S
B ∪ Y,The union of B and Y
C ∪ Q,The union of C and Q
C ∪ R,The union of C and R
C ∪ S,The union of C and S
C ∪ T,The union of C and T
C ∪ V,The union of C and V
C ∪ Cᶜ = univ,The union of C and its complement equals the universal set
P ∪ C,The union of P and C
P ∪ T,The union of P and T
P ∪ U,The union of P and U
Q ∪ Qᶜ = univ,The union of Q and its complement equals the universal set
R ∪ S,The union of R and S
R ∪ Y,The union of R and Y
S ∪ A,The union of S and A
S ∪ P,The union of S and P
S ∪ R,The union of S and R
S ∪ V,The union of S and V
S ∪ X,The union of S and X
T ∪ B,The union of T and B
T ∪ X,The union of T and X
U ∪ B,The union of U and B
U ∪ Q,The union of U and Q
U ∪ R,The union of U and R
U ∪ T,The union of U and T
U ∪ Uᶜ = univ,The union of U and its complement equals the universal set
V ∪ B,The union of V and B
V ∪ C,The union of V and C
V ∪ P,The union of V and P
V ∪ W,The union of V and W
V ∪ X,The union of V and X
V ∪ Z,The union of V and Z
W ∪ Q,The union of W and Q
W ∪ R,The union of W and R
W ∪ U,The union of W and U
X ∪ S,The union of X and S
X ∪ T,The union of X and T
X ∪ Xᶜ = univ,The union of X and its complement equals the universal set
Y ∪ P,The union of Y and P
Y ∪ W,The union of Y and W
Z ∪ A,The union of Z and A
Z ∪ T,The union of Z and T
Z ∪ U,The union of Z and U
Z ∪ W,The union of Z and W
"∀ x, x ∈ univ",The universal set contains all elements
"∃ S ⊆ A, S ≠ ∅",There exists a subset S of A that is non-empty
"∃ S ⊆ B, S ≠ ∅",There exists a subset S of B that is non-empty
"∃ S ⊆ C, S ≠ ∅",There exists a subset S of C that is non-empty
"∃ S ⊆ P, S ≠ ∅",There exists a subset S of P that is non-empty
"∃ S ⊆ Q, S ≠ ∅",There exists a subset S of Q that is non-empty
"∃ S ⊆ R, S ≠ ∅",There exists a subset S of R that is non-empty
"∃ S ⊆ S, S ≠ ∅",There exists a subset S of S that is non-empty
"∃ S ⊆ T, S ≠ ∅",There exists a subset S of T that is non-empty
"∃ S ⊆ U, S ≠ ∅",There exists a subset S of U that is non-empty
"∃ S ⊆ V, S ≠ ∅",There exists a subset S of V that is non-empty
"∃ S ⊆ Y, S ≠ ∅",There exists a subset S of Y that is non-empty
"∃ S ⊆ Z, S ≠ ∅",There exists a subset S of Z that is non-empty
"∃! x ∈ A, P x",There exists a unique element x in A satisfying P
"∃! x ∈ B, P x",There exists a unique element x in B satisfying P
"∃! x ∈ C, P x",There exists a unique element x in C satisfying P
"∃! x ∈ P, P x",There exists a unique element x in P satisfying P
"∃! x ∈ R, P x",There exists a unique element x in R satisfying P
"∃! x ∈ V, P x",There exists a unique element x in V satisfying P
"∃! x ∈ X, P x",There exists a unique element x in X satisfying P
"∃ x ∈ A, Q x",There exists an element x in A such that property Q holds
"∃ x ∈ B, Q x",There exists an element x in B such that property Q holds
"∃ x ∈ C, Q x",There exists an element x in C such that property Q holds
"∃ x ∈ P, Q x",There exists an element x in P such that property Q holds
"∃ x ∈ Q, Q x",There exists an element x in Q such that property Q holds
"∃ x ∈ R, Q x",There exists an element x in R such that property Q holds
"∃ x ∈ S, Q x",There exists an element x in S such that property Q holds
"∃ x ∈ T, Q x",There exists an element x in T such that property Q holds
"∃ x ∈ U, Q x",There exists an element x in U such that property Q holds
"∃ x ∈ V, Q x",There exists an element x in V such that property Q holds
"∃ x ∈ W, Q x",There exists an element x in W such that property Q holds
"∃ x ∈ Y, Q x",There exists an element x in Y such that property Q holds
"∃ x ∈ Z, Q x",There exists an element x in Z such that property Q holds
A = W ↔ (A ⊆ W ∧ W ⊆ A),Two sets are equal if and only if each is a subset of the other
T = C ↔ (T ⊆ C ∧ C ⊆ T),Two sets are equal if and only if each is a subset of the other
V = S ↔ (V ⊆ S ∧ S ⊆ V),Two sets are equal if and only if each is a subset of the other
U ∈ 𝒫(U),U is an element of its own power set
U ∩ (U ∪ Q) = U,Ubsorption law for intersection: U ∩ (U ∪ Q) = U
U ∩ (U ∪ R) = U,Ubsorption law for intersection: U ∩ (U ∪ R) = U
U ∩ (U ∪ W) = U,Ubsorption law for intersection: U ∩ (U ∪ W) = U
U ∪ (U ∩ Q) = U,Ubsorption law for union: U ∪ (U ∩ Q) = U
U ∪ (U ∩ U) = U,Ubsorption law for union: U ∪ (U ∩ U) = U
U ∪ (U ∩ V) = U,Ubsorption law for union: U ∪ (U ∩ V) = U
A ∪ (U ∩ X) = (A ∪ U) ∩ (A ∪ X),Union distributes over intersection: A ∪ (U ∩ X) = (A ∪ U) ∩ (A ∪ X)
A ∪ (Z ∩ R) = (A ∪ Z) ∩ (A ∪ R),Union distributes over intersection: A ∪ (Z ∩ R) = (A ∪ Z) ∩ (A ∪ R)
P ∪ (S ∩ X) = (P ∪ S) ∩ (P ∪ X),Union distributes over intersection: P ∪ (S ∩ X) = (P ∪ S) ∩ (P ∪ X)
P ∪ (U ∩ B) = (P ∪ U) ∩ (P ∪ B),Union distributes over intersection: P ∪ (U ∩ B) = (P ∪ U) ∩ (P ∪ B)
P ∪ (U ∩ Q) = (P ∪ U) ∩ (P ∪ Q),Union distributes over intersection: P ∪ (U ∩ Q) = (P ∪ U) ∩ (P ∪ Q)
P ∪ (Z ∩ V) = (P ∪ Z) ∩ (P ∪ V),Union distributes over intersection: P ∪ (Z ∩ V) = (P ∪ Z) ∩ (P ∪ V)
Q ∪ (A ∩ S) = (Q ∪ A) ∩ (Q ∪ S),Union distributes over intersection: Q ∪ (A ∩ S) = (Q ∪ A) ∩ (Q ∪ S)
Q ∪ (P ∩ S) = (Q ∪ P) ∩ (Q ∪ S),Union distributes over intersection: Q ∪ (P ∩ S) = (Q ∪ P) ∩ (Q ∪ S)
Q ∪ (V ∩ X) = (Q ∪ V) ∩ (Q ∪ X),Union distributes over intersection: Q ∪ (V ∩ X) = (Q ∪ V) ∩ (Q ∪ X)
R ∪ (Y ∩ Z) = (R ∪ Y) ∩ (R ∪ Z),Union distributes over intersection: R ∪ (Y ∩ Z) = (R ∪ Y) ∩ (R ∪ Z)
T ∪ (U ∩ A) = (T ∪ U) ∩ (T ∪ A),Union distributes over intersection: T ∪ (U ∩ A) = (T ∪ U) ∩ (T ∪ A)
T ∪ (V ∩ Q) = (T ∪ V) ∩ (T ∪ Q),Union distributes over intersection: T ∪ (V ∩ Q) = (T ∪ V) ∩ (T ∪ Q)
T ∪ (Z ∩ R) = (T ∪ Z) ∩ (T ∪ R),Union distributes over intersection: T ∪ (Z ∩ R) = (T ∪ Z) ∩ (T ∪ R)
U ∪ (B ∩ S) = (U ∪ B) ∩ (U ∪ S),Union distributes over intersection: U ∪ (B ∩ S) = (U ∪ B) ∩ (U ∪ S)
U ∪ (S ∩ V) = (U ∪ S) ∩ (U ∪ V),Union distributes over intersection: U ∪ (S ∩ V) = (U ∪ S) ∩ (U ∪ V)
U ∪ (U ∩ X) = (U ∪ U) ∩ (U ∪ X),Union distributes over intersection: U ∪ (U ∩ X) = (U ∪ U) ∩ (U ∪ X)
V ∪ (W ∩ Q) = (V ∪ W) ∩ (V ∪ Q),Union distributes over intersection: V ∪ (W ∩ Q) = (V ∪ W) ∩ (V ∪ Q)
V ∪ (Y ∩ B) = (V ∪ Y) ∩ (V ∪ B),Union distributes over intersection: V ∪ (Y ∩ B) = (V ∪ Y) ∩ (V ∪ B)
W ∪ (Y ∩ T) = (W ∪ Y) ∩ (W ∪ T),Union distributes over intersection: W ∪ (Y ∩ T) = (W ∪ Y) ∩ (W ∪ T)
X ∪ (A ∩ C) = (X ∪ A) ∩ (X ∪ C),Union distributes over intersection: X ∪ (A ∩ C) = (X ∪ A) ∩ (X ∪ C)
X ∪ (P ∩ P) = (X ∪ P) ∩ (X ∪ P),Union distributes over intersection: X ∪ (P ∩ P) = (X ∪ P) ∩ (X ∪ P)
X ∪ (P ∩ S) = (X ∪ P) ∩ (X ∪ S),Union distributes over intersection: X ∪ (P ∩ S) = (X ∪ P) ∩ (X ∪ S)
X ∪ (Q ∩ V) = (X ∪ Q) ∩ (X ∪ V),Union distributes over intersection: X ∪ (Q ∩ V) = (X ∪ Q) ∩ (X ∪ V)
X ∪ (U ∩ V) = (X ∪ U) ∩ (X ∪ V),Union distributes over intersection: X ∪ (U ∩ V) = (X ∪ U) ∩ (X ∪ V)
Y ∪ (A ∩ W) = (Y ∪ A) ∩ (Y ∪ W),Union distributes over intersection: Y ∪ (A ∩ W) = (Y ∪ A) ∩ (Y ∪ W)
Y ∪ (Q ∩ A) = (Y ∪ Q) ∩ (Y ∪ A),Union distributes over intersection: Y ∪ (Q ∩ A) = (Y ∪ Q) ∩ (Y ∪ A)
Y ∪ (S ∩ C) = (Y ∪ S) ∩ (Y ∪ C),Union distributes over intersection: Y ∪ (S ∩ C) = (Y ∪ S) ∩ (Y ∪ C)
Y ∪ (V ∩ B) = (Y ∪ V) ∩ (Y ∪ B),Union distributes over intersection: Y ∪ (V ∩ B) = (Y ∪ V) ∩ (Y ∪ B)
Y ∪ (X ∩ Y) = (Y ∪ X) ∩ (Y ∪ Y),Union distributes over intersection: Y ∪ (X ∩ Y) = (Y ∪ X) ∩ (Y ∪ Y)
Z ∪ (A ∩ V) = (Z ∪ A) ∩ (Z ∪ V),Union distributes over intersection: Z ∪ (A ∩ V) = (Z ∪ A) ∩ (Z ∪ V)
Z ∪ (B ∩ S) = (Z ∪ B) ∩ (Z ∪ S),Union distributes over intersection: Z ∪ (B ∩ S) = (Z ∪ B) ∩ (Z ∪ S)
Z ∪ (U ∩ A) = (Z ∪ U) ∩ (Z ∪ A),Union distributes over intersection: Z ∪ (U ∩ A) = (Z ∪ U) ∩ (Z ∪ A)
Disjoint V Vᶜ,V and its complement are disjoint
V ⊆ A,V is a subset of A
V ⊆ P,V is a subset of P
V ⊆ Q,V is a subset of Q
V ⊆ U,V is a subset of U
V ⊆ X,V is a subset of X
V ⊆ Z,V is a subset of Z
V ∈ 𝒫(V),V is an element of its own power set
V ∩ (V ∪ S) = V,Vbsorption law for intersection: V ∩ (V ∪ S) = V
V ∪ (V ∩ U) = V,Vbsorption law for union: V ∪ (V ∩ U) = V
W ⊆ P,W is a subset of P
W ⊆ Y,W is a subset of Y
W ∩ (W ∪ C) = W,Wbsorption law for intersection: W ∩ (W ∪ C) = W
W ∩ (W ∪ Z) = W,Wbsorption law for intersection: W ∩ (W ∪ Z) = W
W ∪ (W ∩ P) = W,Wbsorption law for union: W ∪ (W ∩ P) = W
W ∪ (W ∩ R) = W,Wbsorption law for union: W ∪ (W ∩ R) = W
Disjoint X Xᶜ,X and its complement are disjoint
X ⊆ U,X is a subset of U
X ⊆ Y,X is a subset of Y
X ⊆ X ∪ S,X is a subset of the union of X and S
X ∈ 𝒫(X),X is an element of its own power set
X ∩ (X ∪ R) = X,Xbsorption law for intersection: X ∩ (X ∪ R) = X
X ∪ (X ∩ R) = X,Xbsorption law for union: X ∪ (X ∩ R) = X
Y ⊆ Y ∪ A,Y is a subset of the union of Y and A
Y ∩ (Y ∪ W) = Y,Ybsorption law for intersection: Y ∩ (Y ∪ W) = Y
Y ∪ (Y ∩ U) = Y,Ybsorption law for union: Y ∪ (Y ∩ U) = Y
Y ∪ (Y ∩ V) = Y,Ybsorption law for union: Y ∪ (Y ∩ V) = Y
Y ∪ (Y ∩ W) = Y,Ybsorption law for union: Y ∪ (Y ∩ W) = Y
Disjoint Z Zᶜ,Z and its complement are disjoint
Z ⊆ A,Z is a subset of A
Z ⊆ T,Z is a subset of T
Z ⊆ W,Z is a subset of W
Z ⊆ Z ∪ S,Z is a subset of the union of Z and S
Z ∈ 𝒫(Z),Z is an element of its own power set
a ∈ C \ W,a is an element of C but not in W
a ∈ T \ Q,a is an element of T but not in Q
a ∈ U ∪ Y ↔ (a ∈ U ∨ a ∈ Y),a is an element of U union Y if and only if a is an element of U or a is an element of Y
a ∈ X ∪ Z ↔ (a ∈ X ∨ a ∈ Z),a is an element of X union Z if and only if a is an element of X or a is an element of Z
a ∈ Y ∪ Q ↔ (a ∈ Y ∨ a ∈ Q),a is an element of Y union Q if and only if a is an element of Y or a is an element of Q
a ∈ Z ∪ B ↔ (a ∈ Z ∨ a ∈ B),a is an element of Z union B if and only if a is an element of Z or a is an element of B
a ∈ Rᶜ ↔ a ∉ R,a is an element of the complement of R if and only if a is not in R
a ∈ Wᶜ ↔ a ∉ W,a is an element of the complement of W if and only if a is not in W
a ∈ Xᶜ ↔ a ∉ X,a is an element of the complement of X if and only if a is not in X
a ∈ A ∩ R ↔ (a ∈ A ∧ a ∈ R),a is an element of the intersection of A and R if and only if a is in both A and R
a ∈ C ∩ R ↔ (a ∈ C ∧ a ∈ R),a is an element of the intersection of C and R if and only if a is in both C and R
a ∈ C ∩ Y ↔ (a ∈ C ∧ a ∈ Y),a is an element of the intersection of C and Y if and only if a is in both C and Y
a ∈ C ∩ Z ↔ (a ∈ C ∧ a ∈ Z),a is an element of the intersection of C and Z if and only if a is in both C and Z
a ∈ P ∩ C ↔ (a ∈ P ∧ a ∈ C),a is an element of the intersection of P and C if and only if a is in both P and C
a ∈ U ∩ W ↔ (a ∈ U ∧ a ∈ W),a is an element of the intersection of U and W if and only if a is in both U and W
a ∈ V ∩ T ↔ (a ∈ V ∧ a ∈ T),a is an element of the intersection of V and T if and only if a is in both V and T
a ∈ W ∩ B ↔ (a ∈ W ∧ a ∈ B),a is an element of the intersection of W and B if and only if a is in both W and B
a ∈ X ∩ A ↔ (a ∈ X ∧ a ∈ A),a is an element of the intersection of X and A if and only if a is in both X and A
a ∈ Z ∩ T ↔ (a ∈ Z ∧ a ∈ T),a is an element of the intersection of Z and T if and only if a is in both Z and T
a ∉ C,a is not a member of set C
a ∉ T,a is not a member of set T
b ∈ A ∪ Q ↔ (b ∈ A ∨ b ∈ Q),b is an element of A union Q if and only if b is an element of A or b is an element of Q
b ∈ C \ P,b is an element of C but not in P
b ∈ P \ X,b is an element of P but not in X
b ∈ Q ∪ Y ↔ (b ∈ Q ∨ b ∈ Y),b is an element of Q union Y if and only if b is an element of Q or b is an element of Y
b ∈ T ∪ R ↔ (b ∈ T ∨ b ∈ R),b is an element of T union R if and only if b is an element of T or b is an element of R
