Maths,natural_language
W ⊆ Z,Every element of W belongs to Z
(W ∪ R)ᶜ = Wᶜ ∩ Rᶜ,The complement of the union of W and R equals the intersection of their complements
"∀ x, x ∈ univ",Every element belongs to the universal set
"∀ S, S ⊆ X → S ∈ 𝒫(X)",Every subset of X is an element of the power set of X
z ∈ Qᶜ ↔ z ∉ Q,z is in the complement of Q if and only if z is not in Q
"∀ x, x ∈ univ",Every element belongs to the universal set
"∀ x, x ∈ univ",The universal set contains all elements
a ∈ C ∩ Z ↔ (a ∈ C ∧ a ∈ Z),a belongs to the intersection of C and Z if and only if a is in both C and Z
∅ ∈ 𝒫(U),The empty set is in the power set of U
A ⊆ X,A is contained in X
"{n : ℤ | ∃ k, n = 2 * k + 1}",The set of all odd integers
T × C,The Cartesian product of T and C
X ⊆ univ,Every set X is a subset of the universal set
"Injective f → ∀ x y ∈ W, f x = f y → x = y","If f is injective, then for all x, y in W, f(x) = f(y) implies x = y"
U ∪ Uᶜ = univ,The union of U and its complement equals the universal set
"∀ S, S ⊆ W → S ∈ 𝒫(W)",Every subset of W is an element of the power set of W
Qᶜ,The complement of set Q
v ∈ Q \ A,v is in Q but not in A
A ∪ W,The union of sets A and W
Y ⊆ B ∧ B ⊆ Y → Y = B,"If Y is a subset of B and B is a subset of Y, then Y equals B"
{x : ℝ | x > 0},The set of all positive real numbers
s ∈ B \ R,s is in B but not in R
Aᶜ,The complement of set A
{x | P x},The set of all elements x such that property P holds
∅ ⊆ Z,The empty set is a subset of every set Z
x ∈ V ∩ B ↔ (x ∈ V ∧ x ∈ B),x belongs to the intersection of V and B if and only if x is in both V and B
f : Z → X,f maps Z into X
C ⊆ R ∧ R ⊆ C → C = R,"If C is a subset of R and R is a subset of C, then C equals R"
W ⊇ Z,Set W is a superset of set Z
a ∈ A ∩ R ↔ (a ∈ A ∧ a ∈ R),a belongs to the intersection of A and R if and only if a is in both A and R
A ⊇ U,Set A is a superset of set U
P ⊆ S ∧ Infinite P → Infinite S,"If P ⊆ S and P is infinite, then S is infinite"
"∃ S ⊆ Q, S ≠ ∅",There exists a subset S of Q that is non-empty
y ∈ W ∪ V ↔ (y ∈ W ∨ y ∈ V),y is in W union V if and only if y is in W or y is in V
Z ∩ Q ⊆ Z,The intersection of Z and Q is a subset of Z
u ∈ V ∪ T ↔ (u ∈ V ∨ u ∈ T),u is in V union T if and only if u is in V or u is in T
c ∉ R,c is not a member of set R
U ∩ (A ∪ A) = (U ∩ A) ∪ (U ∩ A),Intersection distributes over union: U ∩ (A ∪ A) = (U ∩ A) ∪ (U ∩ A)
m ∉ Y,m is not a member of set Y
𝒫(P) = {S | S ⊆ P},The power set of P is the set of all subsets of P
"{n : ℤ | ∃ k, n = 2 * k + 1}",The set of all odd integers
Z ⊇ X,Set Z is a superset of set X
∅ ⊆ P,The empty set is a subset of every set P
T ∪ (Z ∩ R) = (T ∪ Z) ∩ (T ∪ R),Union distributes over intersection: T ∪ (Z ∩ R) = (T ∪ Z) ∩ (T ∪ R)
{x ∈ A | Q x},The set of all elements in A satisfying property Q
V ⊆ Z ∧ Z ⊆ V → V = Z,"If V is a subset of Z and Z is a subset of V, then V equals Z"
Q ∩ W,The intersection of sets Q and W
c ∈ S ∩ C ↔ (c ∈ S ∧ c ∈ C),c belongs to the intersection of S and C if and only if c is in both S and C
V ∩ (W ∪ V) = (V ∩ W) ∪ (V ∩ V),Intersection distributes over union: V ∩ (W ∪ V) = (V ∩ W) ∪ (V ∩ V)
u ∈ W \ X,u is in W but not in X
V ∪ B,The union of sets V and B
(Z ∪ U)ᶜ = Zᶜ ∩ Uᶜ,The complement of the union of Z and U equals the intersection of their complements
Z ⊆ Z ∪ S,Z is a subset of the union of Z and S
(Z ∩ X)ᶜ = Zᶜ ∪ Xᶜ,The complement of the intersection of Z and X equals the union of their complements
Q ⊆ X ∧ X ⊆ Q → Q = X,"If Q is a subset of X and X is a subset of Q, then Q equals X"
Tᶜ,The complement of set T
{n : ℕ | n > 5},The set of all natural numbers greater than 5
"∀ x ∈ Z, P x → Q x","For every element x in Z, if P(x) then Q(x)"
"∀ x, x ∉ ∅",The empty set has no elements
T ⊆ B,Every element of T belongs to B
A ∪ B,The union of sets A and B
y ∈ B \ Q,y is in B but not in Q
n ∈ R ∪ Q ↔ (n ∈ R ∨ n ∈ Q),n is in R union Q if and only if n is in R or n is in Q
C ⊆ V,C is included in V
"∀ x, x ∉ ∅",The empty set has no elements
U ∪ (S ∩ V) = (U ∪ S) ∩ (U ∪ V),Union distributes over intersection: U ∪ (S ∩ V) = (U ∪ S) ∩ (U ∪ V)
w ∈ P ∩ U ↔ (w ∈ P ∧ w ∈ U),w belongs to the intersection of P and U if and only if w is in both P and U
u ∈ Y ∪ X ↔ (u ∈ Y ∨ u ∈ X),u is in Y union X if and only if u is in Y or u is in X
(T ∩ S)ᶜ = Tᶜ ∪ Sᶜ,The complement of the intersection of T and S equals the union of their complements
Surjective (f : T → B),f is surjective from T to B
U ∪ (U ∩ Q) = U,Ubsorption law for union: U ∪ (U ∩ Q) = U
Z ∪ T,The union of sets Z and T
T ⊇ Q,Set T is a superset of set Q
f '' S,The image of set S under function f
S ∪ A,The union of sets S and A
C ⊆ Q ∧ Infinite C → Infinite Q,"If C ⊆ Q and C is infinite, then Q is infinite"
k ∈ Vᶜ ↔ k ∉ V,k is in the complement of V if and only if k is not in V
v ∈ B,The element v belongs to set B
"∃ S ⊆ V, S ≠ ∅",There exists a subset S of V that is non-empty
"Injective f → ∀ x y ∈ R, f x = f y → x = y","If f is injective, then for all x, y in R, f(x) = f(y) implies x = y"
w ∈ Vᶜ ↔ w ∉ V,w is in the complement of V if and only if w is not in V
X \ Q,The set difference X minus Q
Tijective (f : X → T),f is bijective from X to T
w ∈ W,The element w belongs to set W
k ∈ C ∩ P ↔ (k ∈ C ∧ k ∈ P),k belongs to the intersection of C and P if and only if k is in both C and P
Disjoint V Vᶜ,V and its complement are disjoint
{x ∈ X | Q x},The set of all elements in X satisfying property Q
f '' Q,The image of set Q under function f
z ∈ C,The element z belongs to set C
Y \ A,The set difference Y minus A
Disjoint S Sᶜ,S and its complement are disjoint
X ∪ S,The union of sets X and S
n ∈ Z,The element n belongs to set Z
"∀ x, x ∉ ∅",No element belongs to the empty set
c ∈ S,The element c belongs to set S
X ∩ (X ∪ R) = X,Xbsorption law for intersection: X ∩ (X ∪ R) = X
z ∈ S ∪ B ↔ (z ∈ S ∨ z ∈ B),z is in S union B if and only if z is in S or z is in B
B \ S,The set difference B minus S
f : U → V,f maps U into V
P ∩ W,The intersection of sets P and W
T ∪ (U ∩ A) = (T ∪ U) ∩ (T ∪ A),Union distributes over intersection: T ∪ (U ∩ A) = (T ∪ U) ∩ (T ∪ A)
Q ⊆ V ∧ Infinite Q → Infinite V,"If Q ⊆ V and Q is infinite, then V is infinite"
v ∈ C ∪ Z ↔ (v ∈ C ∨ v ∈ Z),v is in C union Z if and only if v is in C or v is in Z
A ∪ T,The union of sets A and T
A ∪ (A ∩ U) = A,Absorption law for union: A ∪ (A ∩ U) = A
"∃! x ∈ A, P x",There exists a unique element x in A satisfying P
S \ A,The set difference S minus A
"{n : ℤ | ∃ k, n = 2 * k + 1}",The set of all odd integers
b ∉ A,b is not a member of set A
c ∈ R,The element c belongs to set R
f : A → W,f maps A into W
P \ V,The set difference P minus V
W ⊇ U,Set W is a superset of set U
f ⁻¹' B,The preimage of set B under function f
Yijective (f : R → Y),f is bijective from R to Y
"U × U = {(a, b) | a ∈ U ∧ b ∈ U}","The Cartesian product U × U is the set of all ordered pairs (a, b) where a ∈ U and b ∈ U"
W ∩ B,The intersection of sets W and B
P × P,The Cartesian product of P and P
"∀ S, S ⊆ B → S ∈ 𝒫(B)",Every subset of B is an element of the power set of B
c ∈ Yᶜ ↔ c ∉ Y,c is in the complement of Y if and only if c is not in Y
{x : ℝ | 0 < x ∧ x < 1},The set of all real numbers between 0 and 1
X ∪ (U ∩ V) = (X ∪ U) ∩ (X ∪ V),Union distributes over intersection: X ∪ (U ∩ V) = (X ∪ U) ∩ (X ∪ V)
W ⊇ C,Set W is a superset of set C
"∀ x, x ∉ ∅",The empty set has no elements
W ∩ C,The intersection of sets W and C
"Y = S ↔ ∀ x, x ∈ Y ↔ x ∈ S",Sets Y and S are equal if they have the same elements
T ⊆ Z ∧ Infinite T → Infinite Z,"If T ⊆ Z and T is infinite, then Z is infinite"
Disjoint X Xᶜ,X and its complement are disjoint
B \ P,The set difference B minus P
U \ B,The set difference U minus B
P ⊇ R,Set P is a superset of set R
P ⊆ W ∧ W ⊆ P → P = W,"If P is a subset of W and W is a subset of P, then P equals W"
S ∩ A ⊆ S,The intersection of S and A is a subset of S
{x | P x},The set of all elements x such that property P holds
V ∩ R,The intersection of sets V and R
"∃ x ∈ Z, Q x",There exists an element x in Z such that property Q holds
y ∈ P ∪ T ↔ (y ∈ P ∨ y ∈ T),y is in P union T if and only if y is in P or y is in T
"∀ x ∈ T, P x","For all x in T, property P holds"
(R ∪ W)ᶜ = Rᶜ ∩ Wᶜ,The complement of the union of R and W equals the intersection of their complements
z ∈ B ∩ T ↔ (z ∈ B ∧ z ∈ T),z belongs to the intersection of B and T if and only if z is in both B and T
"T = Z ↔ ∀ x, x ∈ T ↔ x ∈ Z",Sets T and Z are equal if they have the same elements
P ∪ U,The union of sets P and U
Injective (f : S → Q),f is injective on S
A × R,The Cartesian product of A and R
X = Y ↔ (X ⊆ Y ∧ Y ⊆ X),Two sets are equal if and only if they are subsets of each other
"∀ x, x ∉ ∅",No element belongs to the empty set
(Wᶜ)ᶜ = W,Double complement of W is W
Y ⊇ W,Set Y is a superset of set W
Y ∪ (Q ∩ A) = (Y ∪ Q) ∩ (Y ∪ A),Union distributes over intersection: Y ∪ (Q ∩ A) = (Y ∪ Q) ∩ (Y ∪ A)
C ⊇ X,Set C is a superset of set X
"∀ x ∈ B, P x → Q x","For every element x in B, if P(x) then Q(x)"
"∀ x, x ∈ univ",The universal set contains all elements
(A ∪ Q)ᶜ = Aᶜ ∩ Qᶜ,The complement of the union of A and Q equals the intersection of their complements
"∃ x ∈ R, Q x",There exists an element x in R such that property Q holds
A ∩ Z,The intersection of sets A and Z
"P × B = {(a, b) | a ∈ P ∧ b ∈ B}","The Cartesian product P × B is the set of all ordered pairs (a, b) where a ∈ P and b ∈ B"
S \ B,The set difference S minus B
P ⊆ S,Every element of P belongs to S
R ∪ Y,The union of sets R and Y
t ∈ Wᶜ ↔ t ∉ W,t is in the complement of W if and only if t is not in W
Y ∩ T,The intersection of sets Y and T
a ∈ C ∩ R ↔ (a ∈ C ∧ a ∈ R),a belongs to the intersection of C and R if and only if a is in both C and R
"Injective f → ∀ x y ∈ U, f x = f y → x = y","If f is injective, then for all x, y in U, f(x) = f(y) implies x = y"
t ∉ A,t is not a member of set A
X ⊆ B ∧ B ⊆ U → X ⊆ U,"If X ⊆ B and B ⊆ U, then X ⊆ U"
Q ∪ (Q ∩ S) = Q,Qbsorption law for union: Q ∪ (Q ∩ S) = Q
v ∉ B,v is not a member of set B
"∃! x ∈ P, P x",There exists a unique element x in P satisfying P
∅ ∈ 𝒫(R),The empty set is in the power set of R
m ∈ C,The element m belongs to set C
R ⊆ W,Every element of R belongs to W
"{n : ℕ | ∃ k, n = 2 * k}",The set of all even natural numbers
S ⊇ Q,Set S is a superset of set Q
B ∪ S,The union of sets B and S
U ⊇ R,Set U is a superset of set R
w ∈ X \ T,w is in X but not in T
S ∪ V,The union of sets S and V
Cᶜ,The complement of set C
"∃ x ∈ A, Q x",There exists an element x in A such that property Q holds
V ∪ W,The union of sets V and W
A ⊆ V,A is contained in V
P ⊆ X,Every element of P belongs to X
{n : ℤ | n < 10},The set of all integers less than 10
U = X ↔ (U ⊆ X ∧ X ⊆ U),Two sets are equal if and only if they are subsets of each other
Y ⊆ univ,Every set Y is a subset of the universal set
{n : ℕ | n > 5},The set of all natural numbers greater than 5
T ⊆ X,T is contained in X
{n : ℤ | n < 10},The set of all integers less than 10
∅ ⊆ V,The empty set is a subset of every set V
x ∈ C ∪ U ↔ (x ∈ C ∨ x ∈ U),x is in C union U if and only if x is in C or x is in U
y ∈ Y ∩ R ↔ (y ∈ Y ∧ y ∈ R),y belongs to the intersection of Y and R if and only if y is in both Y and R
(Xᶜ)ᶜ = X,Double complement of X is X
C ∩ Z,The intersection of sets C and Z
"Injective f → ∀ x y ∈ A, f x = f y → x = y","If f is injective, then for all x, y in A, f(x) = f(y) implies x = y"
P \ W,The set difference P minus W
"∃ S ⊆ U, S ≠ ∅",There exists a subset S of U that is non-empty
s ∈ W,The element s belongs to set W
s ∈ X ∩ R ↔ (s ∈ X ∧ s ∈ R),s belongs to the intersection of X and R if and only if s is in both X and R
Q ∪ (A ∩ S) = (Q ∪ A) ∩ (Q ∪ S),Union distributes over intersection: Q ∪ (A ∩ S) = (Q ∪ A) ∩ (Q ∪ S)
v ∈ W,The element v belongs to set W
V ⊇ C,Set V is a superset of set C
X ∪ (P ∩ P) = (X ∪ P) ∩ (X ∪ P),Union distributes over intersection: X ∪ (P ∩ P) = (X ∪ P) ∩ (X ∪ P)
"∀ S, S ⊆ V → S ∈ 𝒫(V)",Every subset of V is an element of the power set of V
V \ T,The set difference V minus T
V ⊆ Y ∧ Y ⊆ V → V = Y,"If V is a subset of Y and Y is a subset of V, then V equals Y"
P ⊆ Z ∧ Z ⊆ P → P = Z,"If P is a subset of Z and Z is a subset of P, then P equals Z"
(C ∪ Y)ᶜ = Cᶜ ∩ Yᶜ,The complement of the union of C and Y equals the intersection of their complements
Y ∪ (V ∩ B) = (Y ∪ V) ∩ (Y ∪ B),Union distributes over intersection: Y ∪ (V ∩ B) = (Y ∪ V) ∩ (Y ∪ B)
x ∉ U,x is not a member of set U
n ∈ V ∪ Q ↔ (n ∈ V ∨ n ∈ Q),n is in V union Q if and only if n is in V or n is in Q
C ∪ V,The union of sets C and V
V ⊆ A ∧ A ⊆ V → V = A,"If V is a subset of A and A is a subset of V, then V equals A"
A ⊆ V,A is contained in V
S ⊇ C,Set S is a superset of set C
"∃ x ∈ Y, Q x",There exists an element x in Y such that property Q holds
U ∪ B,The union of sets U and B
T ∈ 𝒫(T),T is in its own power set
"∃ x ∈ C, Q x",There exists an element x in C such that property Q holds
Z = X ↔ (Z ⊆ X ∧ X ⊆ Z),Two sets are equal if and only if they are subsets of each other
V ∪ C,The union of sets V and C
f '' P ⊆ A,The image of P under f is a subset of A
W ⊇ A,Set W is a superset of set A
y ∈ B,The element y belongs to set B
B \ V,The set difference B minus V
s ∈ Z ∪ W ↔ (s ∈ Z ∨ s ∈ W),s is in Z union W if and only if s is in Z or s is in W
B \ P,The set difference B minus P
c ∈ Y \ R,c is in Y but not in R
V \ Z,The set difference V minus Z
m ∈ S,The element m belongs to set S
{x : ℝ | x > 0},The set of all positive real numbers
T ⊆ V,Every element of T belongs to V
b ∉ R,b is not a member of set R
(Tᶜ)ᶜ = T,Double complement of T is T
A ∩ S,The intersection of sets A and S
P ⊇ R,Set P is a superset of set R
"∃! x ∈ B, P x",There exists a unique element x in B satisfying P
"Injective f → ∀ x y ∈ A, f x = f y → x = y","If f is injective, then for all x, y in A, f(x) = f(y) implies x = y"
Disjoint W Y → W ∩ Y = ∅,"If W and Y are disjoint, then W ∩ Y = ∅"
u ∈ B \ Q,u is in B but not in Q
U ⊆ V ∧ V ⊆ U → U = V,"If U is a subset of V and V is a subset of U, then U equals V"
X ⊇ B,Set X is a superset of set B
{x : ℝ | 0 < x ∧ x < 1},The set of all real numbers between 0 and 1
"∀ x ∈ R, P x","For all x in R, property P holds"
"T × U = {(a, b) | a ∈ T ∧ b ∈ U}","The Cartesian product T × U is the set of all ordered pairs (a, b) where a ∈ T and b ∈ U"
Z ⊆ U,Set Z is a subset of set U
"C × R = {(a, b) | a ∈ C ∧ b ∈ R}","The Cartesian product C × R is the set of all ordered pairs (a, b) where a ∈ C and b ∈ R"
(S ∩ Q)ᶜ = Sᶜ ∪ Qᶜ,The complement of the intersection of S and Q equals the union of their complements
V ⊆ X,V is contained in X
"∀ x ∈ T, P x → Q x","For every element x in T, if P(x) then Q(x)"
f ⁻¹' U,The preimage of set U under function f
"∀ x, x ∉ ∅",No element belongs to the empty set
u ∈ X ∩ Y ↔ (u ∈ X ∧ u ∈ Y),u belongs to the intersection of X and Y if and only if u is in both X and Y
Q ∪ Qᶜ = univ,The union of Q and its complement equals the universal set
A ⊆ S,A is contained in S
T \ W,The set difference T minus W
U ⊆ V → Vᶜ ⊆ Uᶜ,"If U ⊆ V, then Vᶜ ⊆ Uᶜ"
Z ∩ C ⊆ Z,The intersection of Z and C is a subset of Z
{x : ℝ | 0 < x ∧ x < 1},The set of all real numbers between 0 and 1
Z ∩ V,The intersection of sets Z and V
X ⊆ Y,X is contained in Y
P ∩ (A ∪ W) = (P ∩ A) ∪ (P ∩ W),Intersection distributes over union: P ∩ (A ∪ W) = (P ∩ A) ∪ (P ∩ W)
z ∈ X ∩ Y ↔ (z ∈ X ∧ z ∈ Y),z belongs to the intersection of X and Y if and only if z is in both X and Y
m ∈ V \ P,m is in V but not in P
∅ ⊆ C,The empty set is a subset of every set C
T ∩ (B ∪ T) = (T ∩ B) ∪ (T ∩ T),Intersection distributes over union: T ∩ (B ∪ T) = (T ∩ B) ∪ (T ∩ T)
y ∉ R,y is not a member of set R
z ∈ Y ∪ A ↔ (z ∈ Y ∨ z ∈ A),z is in Y union A if and only if z is in Y or z is in A
Finite A ∧ Finite V → Finite (A ∪ V),"If A is finite and V is finite, then A ∪ V is finite"
t ∈ X,The element t belongs to set X
Z × U,The Cartesian product of Z and U
Z ∪ (B ∩ S) = (Z ∪ B) ∩ (Z ∪ S),Union distributes over intersection: Z ∪ (B ∩ S) = (Z ∪ B) ∩ (Z ∪ S)
"∀ x, x ∈ univ",The universal set contains all elements
c ∈ P ∪ R ↔ (c ∈ P ∨ c ∈ R),c is in P union R if and only if c is in P or c is in R
X ∪ Xᶜ = univ,The union of X and its complement equals the universal set
∅ ⊆ U,The empty set is a subset of every set U
"∃ S ⊆ B, S ≠ ∅",There exists a subset S of B that is non-empty
X ⊆ Y ∧ Y ⊆ X → X = Y,"If X is a subset of Y and Y is a subset of X, then X equals Y"
U ⊆ Q,Set U is a subset of set Q
"∀ S ⊆ U, Finite S","For all subsets S of U, S is finite"
(W ∪ R)ᶜ = Wᶜ ∩ Rᶜ,The complement of the union of W and R equals the intersection of their complements
v ∉ T,v is not a member of set T
"∃ x ∈ Q, Q x",There exists an element x in Q such that property Q holds
R ⊆ R ∪ X,R is a subset of the union of R and X
C ∪ T,The union of sets C and T
W ⊆ W ∧ W ⊆ A → W ⊆ A,"If W ⊆ W and W ⊆ A, then W ⊆ A"
{x : ℝ | 0 < x ∧ x < 1},The set of all real numbers between 0 and 1
∅ ∈ 𝒫(U),The empty set is in the power set of U
S × T,The Cartesian product of S and T
c ∈ U ∩ T ↔ (c ∈ U ∧ c ∈ T),c belongs to the intersection of U and T if and only if c is in both U and T
"∀ x, x ∉ ∅",The empty set has no elements
Z ⊆ T,Every element of Z belongs to T
B ∩ P,The intersection of sets B and P
f : X → X,f maps X into X
y ∈ U ∪ S ↔ (y ∈ U ∨ y ∈ S),y is in U union S if and only if y is in U or y is in S
T ∪ X,The union of sets T and X
w ∈ U,The element w belongs to set U
W ⊆ V,Every element of W belongs to V
"∃ x ∈ Y, Q x",There exists an element x in Y such that property Q holds
"X × Q = {(a, b) | a ∈ X ∧ b ∈ Q}","The Cartesian product X × Q is the set of all ordered pairs (a, b) where a ∈ X and b ∈ Q"
W ∩ A,The intersection of sets W and A
k ∉ X,k is not a member of set X
y ∉ Q,y is not a member of set Q
{x : ℝ | x > 0},The set of all positive real numbers
Pijective (f : C → P),f is bijective from C to P
"∀ x, x ∉ ∅",No element belongs to the empty set
"Injective f → ∀ x y ∈ X, f x = f y → x = y","If f is injective, then for all x, y in X, f(x) = f(y) implies x = y"
"∀ x ∈ T, P x → Q x","For every element x in T, if P(x) then Q(x)"
∅ ⊆ B,The empty set is a subset of every set B
R ⊆ R ∪ Q,R is a subset of the union of R and Q
"C = Y ↔ ∀ x, x ∈ C ↔ x ∈ Y",Sets C and Y are equal if they have the same elements
c ∈ Y,The element c belongs to set Y
S ⊆ T,Set S is a subset of set T
Z ∩ R,The intersection of sets Z and R
Q ⊆ Q ∧ Q ⊆ A → Q ⊆ A,"If Q ⊆ Q and Q ⊆ A, then Q ⊆ A"
v ∈ X,The element v belongs to set X
Y ⊆ A ∧ A ⊆ W → Y ⊆ W,"If Y ⊆ A and A ⊆ W, then Y ⊆ W"
T ⊇ Y,Set T is a superset of set Y
"∀ x, x ∉ ∅",The empty set has no elements
A ∩ X,The intersection of sets A and X
A ⊆ C ∧ Infinite A → Infinite C,"If A ⊆ C and A is infinite, then C is infinite"
"∃ S ⊆ S, S ≠ ∅",There exists a subset S of S that is non-empty
"∀ x ∈ A, P x","For all x in A, property P holds"
f : X → T,f maps X into T
∅ ∈ 𝒫(Z),The empty set is in the power set of Z
a ∈ Y ∪ Q ↔ (a ∈ Y ∨ a ∈ Q),a is in Y union Q if and only if a is in Y or a is in Q
z ∈ S ∪ A ↔ (z ∈ S ∨ z ∈ A),z is in S union A if and only if z is in S or z is in A
𝒫(S) = {S | S ⊆ S},The power set of S is the set of all subsets of S
Zᶜ,The complement of set Z
U \ Q,The set difference U minus Q
(A ∪ C)ᶜ = Aᶜ ∩ Cᶜ,The complement of the union of A and C equals the intersection of their complements
z ∉ Q,z is not a member of set Q
Finite A ∧ Finite W → Finite (A ∪ W),"If A is finite and W is finite, then A ∪ W is finite"
R \ P,The set difference R minus P
C ∩ (C ∪ W) = C,Cbsorption law for intersection: C ∩ (C ∪ W) = C
C ⊆ Q → Qᶜ ⊆ Cᶜ,"If C ⊆ Q, then Qᶜ ⊆ Cᶜ"
"∀ x, x ∉ ∅",No element belongs to the empty set
R = U ↔ (R ⊆ U ∧ U ⊆ R),Two sets are equal if and only if they are subsets of each other
(C ∩ T)ᶜ = Cᶜ ∪ Tᶜ,The complement of the intersection of C and T equals the union of their complements
b ∉ Z,b is not a member of set Z
Injective (f : V → Q),f is injective on V
z ∈ Y ∪ Z ↔ (z ∈ Y ∨ z ∈ Z),z is in Y union Z if and only if z is in Y or z is in Z
b ∈ R ∩ P ↔ (b ∈ R ∧ b ∈ P),b belongs to the intersection of R and P if and only if b is in both R and P
y ∈ Z ∩ B ↔ (y ∈ Z ∧ y ∈ B),y belongs to the intersection of Z and B if and only if y is in both Z and B
P ⊇ X,Set P is a superset of set X
"Injective f → ∀ x y ∈ C, f x = f y → x = y","If f is injective, then for all x, y in C, f(x) = f(y) implies x = y"
V ∪ Z,The union of sets V and Z
w ∈ C ∩ A ↔ (w ∈ C ∧ w ∈ A),w belongs to the intersection of C and A if and only if w is in both C and A
c ∈ X ∩ Y ↔ (c ∈ X ∧ c ∈ Y),c belongs to the intersection of X and Y if and only if c is in both X and Y
X × P,The Cartesian product of X and P
(Pᶜ)ᶜ = P,Double complement of P is P
"∀ x ∈ Q, P x","For all x in Q, property P holds"
Y ∪ (Y ∩ W) = Y,Ybsorption law for union: Y ∪ (Y ∩ W) = Y
f ⁻¹' P,The preimage of set P under function f
x ∈ V ∪ Q ↔ (x ∈ V ∨ x ∈ Q),x is in V union Q if and only if x is in V or x is in Q
"∀ x, x ∉ ∅",The empty set has no elements
A ⊆ U ∧ U ⊆ A → A = U,"If A is a subset of U and U is a subset of A, then A equals U"
z ∈ V ∩ U ↔ (z ∈ V ∧ z ∈ U),z belongs to the intersection of V and U if and only if z is in both V and U
(Rᶜ)ᶜ = R,Double complement of R is R
Z ∪ A,The union of sets Z and A
W ⊆ U,Set W is a subset of set U
Y ∩ (Y ∪ W) = Y,Ybsorption law for intersection: Y ∩ (Y ∪ W) = Y
Z ⊆ A,Z is contained in A
Y ⊆ Y ∪ A,Y is a subset of the union of Y and A
T ∩ A,The intersection of sets T and A
"T = V ↔ ∀ x, x ∈ T ↔ x ∈ V",Sets T and V are equal if they have the same elements
Tᶜ,The complement of set T
(V ∪ R)ᶜ = Vᶜ ∩ Rᶜ,The complement of the union of V and R equals the intersection of their complements
Finite S ∧ Finite T → Finite (S ∪ T),"If S is finite and T is finite, then S ∪ T is finite"
U ∩ (U ∪ W) = U,Ubsorption law for intersection: U ∩ (U ∪ W) = U
W = R ↔ (W ⊆ R ∧ R ⊆ W),Two sets are equal if and only if they are subsets of each other
A ∩ Y,The intersection of sets A and Y
X ⊇ C,Set X is a superset of set C
A ∪ (U ∩ X) = (A ∪ U) ∩ (A ∪ X),Union distributes over intersection: A ∪ (U ∩ X) = (A ∪ U) ∩ (A ∪ X)
C ⊆ S → Sᶜ ⊆ Cᶜ,"If C ⊆ S, then Sᶜ ⊆ Cᶜ"
{x : ℝ | x > 0},The set of all positive real numbers
Q ∩ X,The intersection of sets Q and X
{n : ℤ | n < 10},The set of all integers less than 10
b ∉ P,b is not a member of set P
m ∈ C \ Y,m is in C but not in Y
A ∩ (S ∪ P) = (A ∩ S) ∪ (A ∩ P),Intersection distributes over union: A ∩ (S ∪ P) = (A ∩ S) ∪ (A ∩ P)
"P × S = {(a, b) | a ∈ P ∧ b ∈ S}","The Cartesian product P × S is the set of all ordered pairs (a, b) where a ∈ P and b ∈ S"
Q = R ↔ (Q ⊆ R ∧ R ⊆ Q),Two sets are equal if and only if they are subsets of each other
∅ ∈ 𝒫(B),The empty set is in the power set of B
U \ R,The set difference U minus R
a ∈ X ∪ Z ↔ (a ∈ X ∨ a ∈ Z),a is in X union Z if and only if a is in X or a is in Z
W ∪ (W ∩ P) = W,Wbsorption law for union: W ∪ (W ∩ P) = W
t ∈ Y \ B,t is in Y but not in B
"∀ x ∈ R, P x → Q x","For every element x in R, if P(x) then Q(x)"
Xijective (f : T → X),f is bijective from T to X
U ⊆ T,Every element of U belongs to T
X ∪ T,The union of sets X and T
"∃ S ⊆ R, S ≠ ∅",There exists a subset S of R that is non-empty
v ∈ P ∩ S ↔ (v ∈ P ∧ v ∈ S),v belongs to the intersection of P and S if and only if v is in both P and S
Wᶜ,The complement of set W
a ∈ R,The element a belongs to set R
"{n : ℕ | ∃ k, n = 2 * k}",The set of all even natural numbers
Z \ Y,The set difference Z minus Y
v ∈ Bᶜ ↔ v ∉ B,v is in the complement of B if and only if v is not in B
z ∈ X,The element z belongs to set X
f ⁻¹' X,The preimage of set X under function f
∅ ⊆ A,The empty set is a subset of every set A
f : Z → W,f maps Z into W
(Rᶜ)ᶜ = R,Double complement of R is R
{x : ℝ | x > 0},The set of all positive real numbers
"∀ x, x ∉ ∅",The empty set has no elements
V ⊇ T,Set V is a superset of set T
"∀ x ∈ W, P x → Q x","For every element x in W, if P(x) then Q(x)"
b ∈ P \ X,b is in P but not in X
u ∈ V \ T,u is in V but not in T
Uᶜ,The complement of set U
S ∪ (S ∩ S) = S,Sbsorption law for union: S ∪ (S ∩ S) = S
"∀ x ∈ W, P x","For all x in W, property P holds"
"∃ S ⊆ T, S ≠ ∅",There exists a subset S of T that is non-empty
Finite Y ∧ Finite R → Finite (Y ∪ R),"If Y is finite and R is finite, then Y ∪ R is finite"
{n : ℕ | n > 5},The set of all natural numbers greater than 5
t ∈ R,The element t belongs to set R
A ⊇ P,Set A is a superset of set P
t ∈ B ∪ X ↔ (t ∈ B ∨ t ∈ X),t is in B union X if and only if t is in B or t is in X
"R = C ↔ ∀ x, x ∈ R ↔ x ∈ C",Sets R and C are equal if they have the same elements
{n : ℤ | n < 10},The set of all integers less than 10
(Zᶜ)ᶜ = Z,Double complement of Z is Z
