lean_syntax,natural_language
"{n : ℤ | ∃ k, n = 2 * k + 1}",The set of all odd integers
"∀ x, x ∉ ∅",The empty set has no elements
R ⊆ T ∧ Infinite R → Infinite T,"If R ⊆ T and R is infinite, then T is infinite"
X ⊇ C,Set X is a superset of set C
s ∈ P ∩ Y ↔ (s ∈ P ∧ s ∈ Y),s belongs to the intersection of P and Y if and only if s is in both P and Y
Z ∩ C ⊆ Z,The intersection of Z and C is a subset of Z
Bᶜ,The complement of set B
"∃ S ⊆ R, S ≠ ∅",There exists a subset S of R that is non-empty
"∃ S ⊆ T, S ≠ ∅",There exists a subset S of T that is non-empty
R ⊆ Y,Set R is a subset of set Y
Disjoint Q S → Q ∩ S = ∅,"If Q and S are disjoint, then Q ∩ S = ∅"
"∃ S ⊆ C, S ≠ ∅",There exists a subset S of C that is non-empty
V ⊆ Q,V is contained in Q
Z \ W,The set difference Z minus W
"∀ S, S ⊆ U → S ∈ 𝒫(U)",Every subset of U is an element of the power set of U
(X ∪ T)ᶜ = Xᶜ ∩ Tᶜ,The complement of the union of X and T equals the intersection of their complements
(P ∩ W)ᶜ = Pᶜ ∪ Wᶜ,The complement of the intersection of P and W equals the union of their complements
P \ W,The set difference P minus W
"∃ x ∈ P, Q x",There exists an element x in P such that property Q holds
V ∪ B,The union of sets V and B
f ⁻¹' U,The preimage of set U under function f
y ∈ R ∩ Y ↔ (y ∈ R ∧ y ∈ Y),y belongs to the intersection of R and Y if and only if y is in both R and Y
"∀ x, x ∉ ∅",The empty set has no elements
m ∈ U ∪ Z ↔ (m ∈ U ∨ m ∈ Z),m is in U union Z if and only if m is in U or m is in Z
f : P → U,f maps P into U
k ∈ C,The element k belongs to set C
∅ ⊆ R,The empty set is a subset of every set R
f : X → T,f maps X into T
"∃! x ∈ B, P x",There exists a unique element x in B satisfying P
{x : ℝ | 0 < x ∧ x < 1},The set of all real numbers between 0 and 1
{x | P x},The set of all elements x such that property P holds
W ⊇ B,Set W is a superset of set B
n ∈ C ∩ P ↔ (n ∈ C ∧ n ∈ P),n belongs to the intersection of C and P if and only if n is in both C and P
C ∪ Q,The union of sets C and Q
f '' S,The image of set S under function f
"∀ S ⊆ U, Finite S","For all subsets S of U, S is finite"
Y ∩ (Y ∪ W) = Y,Ybsorption law for intersection: Y ∩ (Y ∪ W) = Y
T ∩ A,The intersection of sets T and A
{n : ℤ | n < 10},The set of all integers less than 10
C ⊆ Q ∧ Infinite C → Infinite Q,"If C ⊆ Q and C is infinite, then Q is infinite"
Y ∩ (B ∪ Z) = (Y ∩ B) ∪ (Y ∩ Z),Intersection distributes over union: Y ∩ (B ∪ Z) = (Y ∩ B) ∪ (Y ∩ Z)
a ∈ C ∩ R ↔ (a ∈ C ∧ a ∈ R),a belongs to the intersection of C and R if and only if a is in both C and R
Vijective (f : R → V),f is bijective from R to V
"∀ x ∈ A, P x → Q x","For every element x in A, if P(x) then Q(x)"
c ∈ U ∩ T ↔ (c ∈ U ∧ c ∈ T),c belongs to the intersection of U and T if and only if c is in both U and T
U ∪ (U ∩ X) = (U ∪ U) ∩ (U ∪ X),Union distributes over intersection: U ∪ (U ∩ X) = (U ∪ U) ∩ (U ∪ X)
Q ∪ (P ∩ S) = (Q ∪ P) ∩ (Q ∪ S),Union distributes over intersection: Q ∪ (P ∩ S) = (Q ∪ P) ∩ (Q ∪ S)
V ⊆ A,V is included in A
u ∈ W \ X,u is in W but not in X
"∀ x ∈ C, P x","For all x in C, property P holds"
"C = Y ↔ ∀ x, x ∈ C ↔ x ∈ Y",Sets C and Y are equal if they have the same elements
s ∈ Zᶜ ↔ s ∉ Z,s is in the complement of Z if and only if s is not in Z
Y ⊆ Z ∧ Z ⊆ Y → Y = Z,"If Y is a subset of Z and Z is a subset of Y, then Y equals Z"
Surjective (f : Q → R),f is surjective from Q to R
s ∈ B \ R,s is in B but not in R
x ∉ U,x is not a member of set U
s ∈ X,The element s belongs to set X
{x : ℝ | x > 0},The set of all positive real numbers
c ∈ Y,The element c belongs to set Y
Q ∩ W,The intersection of sets Q and W
b ∈ W \ C,b is in W but not in C
T ⊇ Q,Set T is a superset of set Q
Y ⊆ univ,Every set Y is a subset of the universal set
"∀ x, x ∉ ∅",The empty set has no elements
"∀ x ∈ U, P x","For all x in U, property P holds"
(Pᶜ)ᶜ = P,Double complement of P is P
Z ∪ (B ∩ S) = (Z ∪ B) ∩ (Z ∪ S),Union distributes over intersection: Z ∪ (B ∩ S) = (Z ∪ B) ∩ (Z ∪ S)
S ⊆ Y ∧ Y ⊆ S → S ⊆ S,"If S ⊆ Y and Y ⊆ S, then S ⊆ S"
Finite A ∧ Finite W → Finite (A ∪ W),"If A is finite and W is finite, then A ∪ W is finite"
A ⊇ V,Set A is a superset of set V
S ⊆ Z,S is contained in Z
"∀ x, x ∈ univ",The universal set contains all elements
T ⊇ Y,Set T is a superset of set Y
S ⊇ B,Set S is a superset of set B
S = R ↔ (S ⊆ R ∧ R ⊆ S),Two sets are equal if and only if they are subsets of each other
z ∈ T ∪ Q ↔ (z ∈ T ∨ z ∈ Q),z is in T union Q if and only if z is in T or z is in Q
"Injective f → ∀ x y ∈ Z, f x = f y → x = y","If f is injective, then for all x, y in Z, f(x) = f(y) implies x = y"
s ∈ W,The element s belongs to set W
s ∉ T,s is not a member of set T
(Y ∪ Q)ᶜ = Yᶜ ∩ Qᶜ,The complement of the union of Y and Q equals the intersection of their complements
"∀ S ⊆ R, Finite S","For all subsets S of R, S is finite"
Pᶜ,The complement of set P
U ∩ B,The intersection of sets U and B
T ∪ (T ∩ R) = T,Tbsorption law for union: T ∪ (T ∩ R) = T
U ∩ (A ∪ A) = (U ∩ A) ∪ (U ∩ A),Intersection distributes over union: U ∩ (A ∪ A) = (U ∩ A) ∪ (U ∩ A)
T × C,The Cartesian product of T and C
(A ∪ W)ᶜ = Aᶜ ∩ Wᶜ,The complement of the union of A and W equals the intersection of their complements
"∃ x ∈ A, Q x",There exists an element x in A such that property Q holds
(Pᶜ)ᶜ = P,Double complement of P is P
U ∩ (U ∪ Q) = (U ∩ U) ∪ (U ∩ Q),Intersection distributes over union: U ∩ (U ∪ Q) = (U ∩ U) ∪ (U ∩ Q)
V ⊆ Z ∧ Z ⊆ V → V = Z,"If V is a subset of Z and Z is a subset of V, then V equals Z"
"∃ S ⊆ V, S ≠ ∅",There exists a subset S of V that is non-empty
k ∉ C,k is not a member of set C
"{n : ℕ | ∃ k, n = 2 * k}",The set of all even natural numbers
W = A ↔ (W ⊆ A ∧ A ⊆ W),Two sets are equal if and only if they are subsets of each other
z ∈ S ∪ B ↔ (z ∈ S ∨ z ∈ B),z is in S union B if and only if z is in S or z is in B
U ∪ R,The union of sets U and R
Z ⊆ W,Z is contained in W
{n : ℕ | n > 5},The set of all natural numbers greater than 5
W ⊆ Y,W is contained in Y
"∀ x, x ∉ ∅",The empty set has no elements
{x : ℝ | x > 0},The set of all positive real numbers
U ∪ Uᶜ = univ,The union of U and its complement equals the universal set
X ⊆ univ,Every set X is a subset of the universal set
Z = R ↔ (Z ⊆ R ∧ R ⊆ Z),Two sets are equal if and only if they are subsets of each other
z ∈ T ∩ W ↔ (z ∈ T ∧ z ∈ W),z belongs to the intersection of T and W if and only if z is in both T and W
"∀ x, x ∉ ∅",The empty set has no elements
Xijective (f : Y → X),f is bijective from Y to X
S × W,The Cartesian product of S and W
"∀ x ∈ R, P x","For all x in R, property P holds"
w ∈ B ∪ Q ↔ (w ∈ B ∨ w ∈ Q),w is in B union Q if and only if w is in B or w is in Q
V ∪ P,The union of sets V and P
c ∉ C,c is not a member of set C
k ∈ Vᶜ ↔ k ∉ V,k is in the complement of V if and only if k is not in V
a ∈ Y ∪ Q ↔ (a ∈ Y ∨ a ∈ Q),a is in Y union Q if and only if a is in Y or a is in Q
Z ∪ U,The union of sets Z and U
S ⊆ X,Every element of S belongs to X
W ∪ Q,The union of sets W and Q
"R = C ↔ ∀ x, x ∈ R ↔ x ∈ C",Sets R and C are equal if they have the same elements
y ∈ P \ V,y is in P but not in V
X ∈ 𝒫(X),X is in its own power set
"{n : ℤ | ∃ k, n = 2 * k + 1}",The set of all odd integers
S \ U,The set difference S minus U
R ⊆ W,Every element of R belongs to W
x ∈ V ∪ Q ↔ (x ∈ V ∨ x ∈ Q),x is in V union Q if and only if x is in V or x is in Q
T ⊇ S,Set T is a superset of set S
Z ∪ (A ∩ V) = (Z ∪ A) ∩ (Z ∪ V),Union distributes over intersection: Z ∪ (A ∩ V) = (Z ∪ A) ∩ (Z ∪ V)
Tijective (f : X → T),f is bijective from X to T
f ⁻¹' V,The preimage of set V under function f
T ⊆ Z ∧ Infinite T → Infinite Z,"If T ⊆ Z and T is infinite, then Z is infinite"
U ⊆ V → Vᶜ ⊆ Uᶜ,"If U ⊆ V, then Vᶜ ⊆ Uᶜ"
(R ∩ Y)ᶜ = Rᶜ ∪ Yᶜ,The complement of the intersection of R and Y equals the union of their complements
T ∪ (V ∩ Q) = (T ∪ V) ∩ (T ∪ Q),Union distributes over intersection: T ∪ (V ∩ Q) = (T ∪ V) ∩ (T ∪ Q)
s ∈ Z ∪ W ↔ (s ∈ Z ∨ s ∈ W),s is in Z union W if and only if s is in Z or s is in W
x ∈ B,The element x belongs to set B
V ⊆ X,V is contained in X
"C × R = {(a, b) | a ∈ C ∧ b ∈ R}","The Cartesian product C × R is the set of all ordered pairs (a, b) where a ∈ C and b ∈ R"
n ∈ R ∪ A ↔ (n ∈ R ∨ n ∈ A),n is in R union A if and only if n is in R or n is in A
P ∩ W,The intersection of sets P and W
P × P,The Cartesian product of P and P
S ∪ A,The union of sets S and A
f : V → C,f maps V into C
Bᶜ,The complement of set B
Y = Y ↔ (Y ⊆ Y ∧ Y ⊆ Y),Two sets are equal if and only if they are subsets of each other
Z ∪ A,The union of sets Z and A
c ∈ Bᶜ ↔ c ∉ B,c is in the complement of B if and only if c is not in B
u ∈ B,The element u belongs to set B
m ∉ Q,m is not a member of set Q
"{n : ℤ | ∃ k, n = 2 * k + 1}",The set of all odd integers
k ∈ X,The element k belongs to set X
C ⊆ Q,C is contained in Q
"∀ x, x ∉ ∅",The empty set has no elements
"∀ S ⊆ U, Finite S","For all subsets S of U, S is finite"
Disjoint W Y → W ∩ Y = ∅,"If W and Y are disjoint, then W ∩ Y = ∅"
x ∈ V ∩ B ↔ (x ∈ V ∧ x ∈ B),x belongs to the intersection of V and B if and only if x is in both V and B
x ∈ Sᶜ ↔ x ∉ S,x is in the complement of S if and only if x is not in S
Yijective (f : R → Y),f is bijective from R to Y
B ∪ S,The union of sets B and S
(C ∪ Y)ᶜ = Cᶜ ∩ Yᶜ,The complement of the union of C and Y equals the intersection of their complements
{x : ℝ | 0 < x ∧ x < 1},The set of all real numbers between 0 and 1
"∃ x ∈ S, Q x",There exists an element x in S such that property Q holds
(W ∪ R)ᶜ = Wᶜ ∩ Rᶜ,The complement of the union of W and R equals the intersection of their complements
{n : ℕ | n > 5},The set of all natural numbers greater than 5
"{n : ℕ | ∃ k, n = 2 * k}",The set of all even natural numbers
A ⊇ P,Set A is a superset of set P
"{n : ℤ | ∃ k, n = 2 * k + 1}",The set of all odd integers
U ∪ (U ∩ Q) = U,Ubsorption law for union: U ∪ (U ∩ Q) = U
v ∈ V,The element v belongs to set V
A ∪ X,The union of sets A and X
T ⊆ X,T is contained in X
w ∈ U,The element w belongs to set U
W ⊆ S → Sᶜ ⊆ Wᶜ,"If W ⊆ S, then Sᶜ ⊆ Wᶜ"
z ∈ V ∩ R ↔ (z ∈ V ∧ z ∈ R),z belongs to the intersection of V and R if and only if z is in both V and R
T ∩ Z,The intersection of sets T and Z
a ∈ P ∩ C ↔ (a ∈ P ∧ a ∈ C),a belongs to the intersection of P and C if and only if a is in both P and C
Z ∩ U,The intersection of sets Z and U
S ∩ A ⊆ S,The intersection of S and A is a subset of S
B ∪ A,The union of sets B and A
V ⊆ A ∧ A ⊆ B → V ⊆ B,"If V ⊆ A and A ⊆ B, then V ⊆ B"
"∀ x, x ∉ ∅",No element belongs to the empty set
"∀ S, S ⊆ A → S ∈ 𝒫(A)",Every subset of A is an element of the power set of A
u ∈ V ∪ T ↔ (u ∈ V ∨ u ∈ T),u is in V union T if and only if u is in V or u is in T
v ∉ B,v is not a member of set B
y ∈ U ∪ S ↔ (y ∈ U ∨ y ∈ S),y is in U union S if and only if y is in U or y is in S
t ∉ W,t is not a member of set W
"∀ x, x ∈ univ",Every element belongs to the universal set
f ⁻¹' B,The preimage of set B under function f
v ∉ Y,v is not a member of set Y
k ∉ W,k is not a member of set W
P ⊆ Z ∧ Z ⊆ P → P = Z,"If P is a subset of Z and Z is a subset of P, then P equals Z"
"∀ x, x ∈ univ",The universal set contains all elements
R ∩ (R ∪ R) = R,Rbsorption law for intersection: R ∩ (R ∪ R) = R
Injective (f : X → P),f is injective on X
"∀ S, S ⊆ X → S ∈ 𝒫(X)",Every subset of X is an element of the power set of X
R ∩ (A ∪ A) = (R ∩ A) ∪ (R ∩ A),Intersection distributes over union: R ∩ (A ∪ A) = (R ∩ A) ∪ (R ∩ A)
n ∈ V \ U,n is in V but not in U
w ∈ V,The element w belongs to set V
S ⊆ P ∧ P ⊆ S → S = P,"If S is a subset of P and P is a subset of S, then S equals P"
C ∩ V,The intersection of sets C and V
t ∈ Wᶜ ↔ t ∉ W,t is in the complement of W if and only if t is not in W
Y × B,The Cartesian product of Y and B
Disjoint V Vᶜ,V and its complement are disjoint
A ∈ 𝒫(A),A is in its own power set
R ∪ Y,The union of sets R and Y
P ⊆ S,Set P is a subset of set S
f : A → W,f maps A into W
∅ ∈ 𝒫(U),The empty set is in the power set of U
Injective (f : Y → V),f is injective on Y
Z ⊆ V,Every element of Z belongs to V
y ∈ P ∪ T ↔ (y ∈ P ∨ y ∈ T),y is in P union T if and only if y is in P or y is in T
"∀ x ∈ W, P x","For all x in W, property P holds"
∅ ⊆ A,The empty set is a subset of every set A
f : Z → Q,f maps Z into Q
f : Z → T,f maps Z into T
P ∩ (B ∪ P) = (P ∩ B) ∪ (P ∩ P),Intersection distributes over union: P ∩ (B ∪ P) = (P ∩ B) ∪ (P ∩ P)
Q ∩ (Q ∪ B) = Q,Qbsorption law for intersection: Q ∩ (Q ∪ B) = Q
m ∈ W ∪ X ↔ (m ∈ W ∨ m ∈ X),m is in W union X if and only if m is in W or m is in X
Z ⊆ V ∧ V ⊆ X → Z ⊆ X,"If Z ⊆ V and V ⊆ X, then Z ⊆ X"
W ∪ (Y ∩ T) = (W ∪ Y) ∩ (W ∪ T),Union distributes over intersection: W ∪ (Y ∩ T) = (W ∪ Y) ∩ (W ∪ T)
Z ∪ W,The union of sets Z and W
{x ∈ A | Q x},The set of all elements in A satisfying property Q
U ∪ T,The union of sets U and T
U ∩ P,The intersection of sets U and P
(W ∪ C)ᶜ = Wᶜ ∩ Cᶜ,The complement of the union of W and C equals the intersection of their complements
U \ R,The set difference U minus R
m ∈ Z,The element m belongs to set Z
U ⊆ R,Set U is a subset of set R
Z ∩ R,The intersection of sets Z and R
Z ∪ (Z ∩ X) = Z,Zbsorption law for union: Z ∪ (Z ∩ X) = Z
n ∈ C ∩ Y ↔ (n ∈ C ∧ n ∈ Y),n belongs to the intersection of C and Y if and only if n is in both C and Y
y ∈ Aᶜ ↔ y ∉ A,y is in the complement of A if and only if y is not in A
s ∉ S,s is not a member of set S
Y ∪ (Q ∩ A) = (Y ∪ Q) ∩ (Y ∪ A),Union distributes over intersection: Y ∪ (Q ∩ A) = (Y ∪ Q) ∩ (Y ∪ A)
Finite S ∧ Finite T → Finite (S ∪ T),"If S is finite and T is finite, then S ∪ T is finite"
Z ∩ Y,The intersection of sets Z and Y
u ∈ V \ T,u is in V but not in T
f '' Y,The image of set Y under function f
P ∪ U,The union of sets P and U
Z ∈ 𝒫(Z),Z is in its own power set
f : V → Q,f maps V into Q
"∃ x ∈ Z, Q x",There exists an element x in Z such that property Q holds
S ∪ P,The union of sets S and P
Sᶜ,The complement of set S
Z ∪ (Z ∩ B) = Z,Zbsorption law for union: Z ∪ (Z ∩ B) = Z
"X × T = {(a, b) | a ∈ X ∧ b ∈ T}","The Cartesian product X × T is the set of all ordered pairs (a, b) where a ∈ X and b ∈ T"
a ∈ V ∩ T ↔ (a ∈ V ∧ a ∈ T),a belongs to the intersection of V and T if and only if a is in both V and T
"∃ x ∈ Y, Q x",There exists an element x in Y such that property Q holds
Z ∩ (R ∪ Y) = (Z ∩ R) ∪ (Z ∩ Y),Intersection distributes over union: Z ∩ (R ∪ Y) = (Z ∩ R) ∪ (Z ∩ Y)
{x ∈ X | Q x},The set of all elements in X satisfying property Q
"T = Z ↔ ∀ x, x ∈ T ↔ x ∈ Z",Sets T and Z are equal if they have the same elements
S ∪ (S ∩ Z) = S,Sbsorption law for union: S ∪ (S ∩ Z) = S
v ∈ W ∩ U ↔ (v ∈ W ∧ v ∈ U),v belongs to the intersection of W and U if and only if v is in both W and U
"∀ x ∈ T, P x → Q x","For every element x in T, if P(x) then Q(x)"
"∀ x ∈ T, P x → Q x","For every element x in T, if P(x) then Q(x)"
u ∈ W ∪ T ↔ (u ∈ W ∨ u ∈ T),u is in W union T if and only if u is in W or u is in T
{x | P x},The set of all elements x such that property P holds
a ∈ T,The element a belongs to set T
"A × V = {(a, b) | a ∈ A ∧ b ∈ V}","The Cartesian product A × V is the set of all ordered pairs (a, b) where a ∈ A and b ∈ V"
k ∈ Z,The element k belongs to set Z
U ∪ Q,The union of sets U and Q
y ∉ X,y is not a member of set X
{n : ℤ | n < 10},The set of all integers less than 10
S \ R,The set difference S minus R
Tijective (f : Y → T),f is bijective from Y to T
Tijective (f : S → T),f is bijective from S to T
c ∈ P ∪ R ↔ (c ∈ P ∨ c ∈ R),c is in P union R if and only if c is in P or c is in R
T ∈ 𝒫(T),T is in its own power set
V \ T,The set difference V minus T
c ∉ W,c is not a member of set W
A ⊇ R,Set A is a superset of set R
A = W ↔ (A ⊆ W ∧ W ⊆ A),Two sets are equal if and only if they are subsets of each other
W \ Y,The set difference W minus Y
b ∈ Q ∪ Y ↔ (b ∈ Q ∨ b ∈ Y),b is in Q union Y if and only if b is in Q or b is in Y
X ⊆ Y,X is contained in Y
{x : ℝ | x > 0},The set of all positive real numbers
S ∪ R,The union of sets S and R
w ∈ W,The element w belongs to set W
m ∈ W \ S,m is in W but not in S
s ∈ R \ V,s is in R but not in V
b ∈ Z ∩ X ↔ (b ∈ Z ∧ b ∈ X),b belongs to the intersection of Z and X if and only if b is in both Z and X
Y ∪ (Y ∩ V) = Y,Ybsorption law for union: Y ∪ (Y ∩ V) = Y
c ∉ R,c is not a member of set R
A ⊇ V,Set A is a superset of set V
"U = W ↔ ∀ x, x ∈ U ↔ x ∈ W",Sets U and W are equal if they have the same elements
∅ ⊆ X,The empty set is a subset of every set X
W ∩ C,The intersection of sets W and C
k ∈ C ∩ P ↔ (k ∈ C ∧ k ∈ P),k belongs to the intersection of C and P if and only if k is in both C and P
n ∈ V ∪ R ↔ (n ∈ V ∨ n ∈ R),n is in V union R if and only if n is in V or n is in R
Finite R ∧ Finite Z → Finite (R ∪ Z),"If R is finite and Z is finite, then R ∪ Z is finite"
X \ Q,The set difference X minus Q
A ⊆ A ∧ A ⊆ A → A = A,"If A is a subset of A and A is a subset of A, then A equals A"
B \ C,The set difference B minus C
"C × R = {(a, b) | a ∈ C ∧ b ∈ R}","The Cartesian product C × R is the set of all ordered pairs (a, b) where a ∈ C and b ∈ R"
C ⊇ T,Set C is a superset of set T
Surjective (f : R → U),f is surjective from R to U
"∀ S ⊆ Y, Finite S","For all subsets S of Y, S is finite"
X ⊆ R → Rᶜ ⊆ Xᶜ,"If X ⊆ R, then Rᶜ ⊆ Xᶜ"
s ∈ V ∪ A ↔ (s ∈ V ∨ s ∈ A),s is in V union A if and only if s is in V or s is in A
z ∈ S ∪ A ↔ (z ∈ S ∨ z ∈ A),z is in S union A if and only if z is in S or z is in A
"P × B = {(a, b) | a ∈ P ∧ b ∈ B}","The Cartesian product P × B is the set of all ordered pairs (a, b) where a ∈ P and b ∈ B"
Disjoint Z Zᶜ,Z and its complement are disjoint
"C × Z = {(a, b) | a ∈ C ∧ b ∈ Z}","The Cartesian product C × Z is the set of all ordered pairs (a, b) where a ∈ C and b ∈ Z"
B \ V,The set difference B minus V
W ∪ R,The union of sets W and R
"∀ x ∈ Z, P x → Q x","For every element x in Z, if P(x) then Q(x)"
"∃ x ∈ T, Q x",There exists an element x in T such that property Q holds
z ∈ W,The element z belongs to set W
S ∩ (P ∪ U) = (S ∩ P) ∪ (S ∩ U),Intersection distributes over union: S ∩ (P ∪ U) = (S ∩ P) ∪ (S ∩ U)
"∀ x, x ∈ univ",The universal set contains all elements
c ∉ B,c is not a member of set B
"∀ x, x ∉ ∅",No element belongs to the empty set
"T × Q = {(a, b) | a ∈ T ∧ b ∈ Q}","The Cartesian product T × Q is the set of all ordered pairs (a, b) where a ∈ T and b ∈ Q"
y ∉ Z,y is not a member of set Z
t ∈ Y ∪ C ↔ (t ∈ Y ∨ t ∈ C),t is in Y union C if and only if t is in Y or t is in C
w ∈ X \ T,w is in X but not in T
f : W → S,f maps W into S
(T ∩ R)ᶜ = Tᶜ ∪ Rᶜ,The complement of the intersection of T and R equals the union of their complements
"∀ x, x ∉ ∅",The empty set has no elements
V \ Z,The set difference V minus Z
C ⊇ T,Set C is a superset of set T
"∃ x ∈ C, Q x",There exists an element x in C such that property Q holds
(Zᶜ)ᶜ = Z,Double complement of Z is Z
X = A ↔ (X ⊆ A ∧ A ⊆ X),Two sets are equal if and only if they are subsets of each other
t ∈ Pᶜ ↔ t ∉ P,t is in the complement of P if and only if t is not in P
U × B,The Cartesian product of U and B
A = T ↔ (A ⊆ T ∧ T ⊆ A),Two sets are equal if and only if they are subsets of each other
V ∩ (W ∪ V) = (V ∩ W) ∪ (V ∩ V),Intersection distributes over union: V ∩ (W ∪ V) = (V ∩ W) ∪ (V ∩ V)
V ⊇ Z,Set V is a superset of set Z
v ∈ T \ W,v is in T but not in W
"X × Q = {(a, b) | a ∈ X ∧ b ∈ Q}","The Cartesian product X × Q is the set of all ordered pairs (a, b) where a ∈ X and b ∈ Q"
v ∈ S ∩ A ↔ (v ∈ S ∧ v ∈ A),v belongs to the intersection of S and A if and only if v is in both S and A
w ∉ X,w is not a member of set X
"C × C = {(a, b) | a ∈ C ∧ b ∈ C}","The Cartesian product C × C is the set of all ordered pairs (a, b) where a ∈ C and b ∈ C"
w ∈ U ∪ T ↔ (w ∈ U ∨ w ∈ T),w is in U union T if and only if w is in U or w is in T
Q ⊆ X ∧ X ⊆ Q → Q = X,"If Q is a subset of X and X is a subset of Q, then Q equals X"
Cᶜ,The complement of set C
z ∈ Vᶜ ↔ z ∉ V,z is in the complement of V if and only if z is not in V
∅ ⊆ Z,The empty set is a subset of every set Z
{n : ℤ | n < 10},The set of all integers less than 10
Zᶜ,The complement of set Z
"∀ x, x ∈ univ",Every element belongs to the universal set
n ∈ V ∪ Q ↔ (n ∈ V ∨ n ∈ Q),n is in V union Q if and only if n is in V or n is in Q
X ⊇ C,Set X is a superset of set C
R ⊆ R ∪ V,R is a subset of the union of R and V
"∃ S ⊆ T, S ≠ ∅",There exists a subset S of T that is non-empty
∅ ∈ 𝒫(C),The empty set is in the power set of C
m ∈ X ∩ R ↔ (m ∈ X ∧ m ∈ R),m belongs to the intersection of X and R if and only if m is in both X and R
y ∈ Z ∩ B ↔ (y ∈ Z ∧ y ∈ B),y belongs to the intersection of Z and B if and only if y is in both Z and B
X ∩ (X ∪ R) = X,Xbsorption law for intersection: X ∩ (X ∪ R) = X
"Injective f → ∀ x y ∈ T, f x = f y → x = y","If f is injective, then for all x, y in T, f(x) = f(y) implies x = y"
S ⊆ V,Every element of S belongs to V
R = U ↔ (R ⊆ U ∧ U ⊆ R),Two sets are equal if and only if they are subsets of each other
(Y ∩ A)ᶜ = Yᶜ ∪ Aᶜ,The complement of the intersection of Y and A equals the union of their complements
Xᶜ,The complement of set X
(S ∩ W)ᶜ = Sᶜ ∪ Wᶜ,The complement of the intersection of S and W equals the union of their complements
b ∉ P,b is not a member of set P
v ∈ C ∪ Z ↔ (v ∈ C ∨ v ∈ Z),v is in C union Z if and only if v is in C or v is in Z
𝒫(A) = {S | S ⊆ A},The power set of A is the set of all subsets of A
"∃! x ∈ A, P x",There exists a unique element x in A satisfying P
v ∈ S,The element v belongs to set S
∅ ⊆ V,The empty set is a subset of every set V
"∀ x ∈ C, P x","For all x in C, property P holds"
{x : ℝ | 0 < x ∧ x < 1},The set of all real numbers between 0 and 1
"∃ x ∈ U, Q x",There exists an element x in U such that property Q holds
v ∈ Qᶜ ↔ v ∉ Q,v is in the complement of Q if and only if v is not in Q
(Tᶜ)ᶜ = T,Double complement of T is T
t ∈ U,The element t belongs to set U
w ∉ X,w is not a member of set X
v ∈ B,The element v belongs to set B
X ∪ (P ∩ P) = (X ∪ P) ∩ (X ∪ P),Union distributes over intersection: X ∪ (P ∩ P) = (X ∪ P) ∩ (X ∪ P)
Zᶜ,The complement of set Z
t ∈ S,The element t belongs to set S
"{n : ℤ | ∃ k, n = 2 * k + 1}",The set of all odd integers
"∀ x, x ∉ ∅",The empty set has no elements
Y ∩ R,The intersection of sets Y and R
x ∉ T,x is not a member of set T
X ⊇ W,Set X is a superset of set W
P \ V,The set difference P minus V
"∀ x, x ∈ univ",The universal set contains all elements
a ∈ U ∩ W ↔ (a ∈ U ∧ a ∈ W),a belongs to the intersection of U and W if and only if a is in both U and W
P ∈ 𝒫(P),P is in its own power set
R ∩ R ⊆ R,The intersection of R and R is a subset of R
W ⊆ Z,Every element of W belongs to Z
"∃ x ∈ V, Q x",There exists an element x in V such that property Q holds
m ∈ Y ∪ C ↔ (m ∈ Y ∨ m ∈ C),m is in Y union C if and only if m is in Y or m is in C
R ∩ P ⊆ R,The intersection of R and P is a subset of R
S ∪ (S ∩ S) = S,Sbsorption law for union: S ∪ (S ∩ S) = S
"∀ x, x ∈ univ",The universal set contains all elements
b ∈ C \ P,b is in C but not in P
"∀ x ∈ S, P x","For all x in S, property P holds"
P ⊇ X,Set P is a superset of set X
c ∈ P ∩ T ↔ (c ∈ P ∧ c ∈ T),c belongs to the intersection of P and T if and only if c is in both P and T
Z ∪ T,The union of sets Z and T
"Injective f → ∀ x y ∈ X, f x = f y → x = y","If f is injective, then for all x, y in X, f(x) = f(y) implies x = y"
(A ∪ Q)ᶜ = Aᶜ ∩ Qᶜ,The complement of the union of A and Q equals the intersection of their complements
{x : ℝ | 0 < x ∧ x < 1},The set of all real numbers between 0 and 1
t ∈ B ∪ X ↔ (t ∈ B ∨ t ∈ X),t is in B union X if and only if t is in B or t is in X
Q ⊇ A,Set Q is a superset of set A
Z ⊇ X,Set Z is a superset of set X
y ∈ P ∪ U ↔ (y ∈ P ∨ y ∈ U),y is in P union U if and only if y is in P or y is in U
Z ⊆ T,Z is included in T
"∀ x, x ∉ ∅",No element belongs to the empty set
{x : ℝ | x > 0},The set of all positive real numbers
V \ Z,The set difference V minus Z
m ∈ C \ Y,m is in C but not in Y
Disjoint Q Y → Q ∩ Y = ∅,"If Q and Y are disjoint, then Q ∩ Y = ∅"
(A ∩ T)ᶜ = Aᶜ ∪ Tᶜ,The complement of the intersection of A and T equals the union of their complements
(S ∩ C)ᶜ = Sᶜ ∪ Cᶜ,The complement of the intersection of S and C equals the union of their complements
s ∈ T ∪ X ↔ (s ∈ T ∨ s ∈ X),s is in T union X if and only if s is in T or s is in X
Yᶜ,The complement of set Y
P ∩ P ⊆ P,The intersection of P and P is a subset of P
k ∈ C \ Z,k is in C but not in Z
b ∈ V \ R,b is in V but not in R
